Report Date,As of Date,State,Confirmed Cases,Source
,#date,#adm1+name,#affected+infected+confirmed,#source+url
21/05/2020,20/05/2020,White Nile,10,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2021%20May%202020.pdf
14/05/2020,13/05/2020,Abyei PCA,,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2014%20May%202020.pdf
14/05/2020,13/05/2020,Al Jazirah,107,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2014%20May%202020.pdf
14/05/2020,13/05/2020,Blue Nile,1,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2014%20May%202020.pdf
14/05/2020,13/05/2020,Central Darfur,2,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2014%20May%202020.pdf
14/05/2020,13/05/2020,East Darfur,2,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2014%20May%202020.pdf
14/05/2020,13/05/2020,Gedaref,54,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2014%20May%202020.pdf
14/05/2020,13/05/2020,Kassala,6,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2014%20May%202020.pdf
14/05/2020,13/05/2020,Khartoum,1474,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2014%20May%202020.pdf
14/05/2020,13/05/2020,North Darfur,5,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2014%20May%202020.pdf
