Date,Département,Cumulative cases,New cases (24h),Cumulative Deaths,New deaths (24h) Rate Of,Case fatality rate,Source
#date,#adm1+name,#affected+infected+confirmed+total,#affected+infected+confirmed+new,#affected+infected+dead+total,#affected+infected+dead+new,,
10-05-2020,Nord-Est,12,0,2,0,16.7%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_10-05-2020.pdf
10-05-2020,Nord,8,0,1,0,12.5%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_10-05-2020.pdf
10-05-2020,Sud-Est,7,1,1,0,14.3%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_10-05-2020.pdf
10-05-2020,Nippes,3,0,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_10-05-2020.pdf
10-05-2020,Centre,4,1,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_10-05-2020.pdf
10-05-2020,Sud,2,1,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_10-05-2020.pdf
10-05-2020,Nord-Ouest,3,0,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_10-05-2020.pdf
10-05-2020,Grand Anse,2,0,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_10-05-2020.pdf
09-05-2020,Ouest,126,19,8,2,6.3%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_09-05-2020%20VC.pdf
09-05-2020,Artibonite,18,7,3,1,16.7%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_09-05-2020%20VC.pdf
09-05-2020,Nord-Est,12,0,2,0,16.7%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_09-05-2020%20VC.pdf
09-05-2020,Nord,8,2,1,0,12.5%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_09-05-2020%20VC.pdf
09-05-2020,Sud-Est,6,0,1,0,16.7%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_09-05-2020%20VC.pdf
09-05-2020,Nippes,3,0,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_09-05-2020%20VC.pdf
09-05-2020,Centre,3,1,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_09-05-2020%20VC.pdf
09-05-2020,Sud,1,0,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_09-05-2020%20VC.pdf
09-05-2020,Nord-Ouest,3,0,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_09-05-2020%20VC.pdf
